# 本项目补译的中文释义：词形(|分隔)	读音	释义
十	とお	十，十个
修学	しゅうがく	求学，学习
周期	しゅうき	周期
就業	しゅうぎょう	就业，上班
主演	しゅえん	主演
宿命	しゅくめい	宿命，命中注定
主権	しゅけん	主权
主体	しゅたい	主体，核心
出社	しゅっしゃ	上班（到公司）
出生	しゅっせい	出生
守備	しゅび	防守，守备
私有	しゆう	私有
諸君	しょくん	诸位，各位
初版	しょはん	初版，第一版
庶務	しょむ	总务，庶务
ショー	しょー	演出，表演，展示
使用人	しようにん	雇员，佣人
調べ	しらべ	调查，审查；曲调
記す	しるす	记，写下；记住
指令	しれい	指令，命令
新婚	しんこん	新婚
真珠	しんじゅ	珍珠
心中	しんじゅう	殉情，殉死；集体自杀
親善	しんぜん	亲善，友好
新築	しんちく	新建，新盖
進展	しんてん	进展，发展
神殿	しんでん	神殿
進度	しんど	进度
新入生	しんにゅうせい	新生
信任	しんにん	信任
シート	しーと	座位；薄板，薄片
自首	じしゅ	自首
辞職	じしょく	辞职
実	じつ	真实，实情；诚实
実業家	じつぎょうか	实业家，企业家
弱	じゃく	稍弱，略少于
ジャンプ	じゃんぷ	跳跃；（网页）跳转；（价格）暴涨
十字路	じゅうじろ	十字路口
樹木	じゅもく	树木
準急	じゅんきゅう	准快车
城下	じょうか	城下，城堡附近
情勢	じょうせい	形势，局势
蒸溜	じょうりゅう	蒸馏
助動詞	じょどうし	助动词
陣	じん	阵，阵势；阵地
人民	じんみん	人民
粋	すい	精华；风流，潇洒
推進	すいしん	推进，推动
水田	すいでん	水田
数詞	すうし	数词
崇拝	すうはい	崇拜
すがすがしい	すがすがしい	清爽的，畅快的
裾	すそ	下摆，衣角；（山）山脚
スチーム	すちーむ	蒸汽；暖气
スト	すと	罢工
スポーツカー	すぽーつかー	跑车
澄ます	すます	使澄清；装作若无其事
清ます	すます	弄清，澄清；侧耳倾听
すみやか	すみやか	迅速的，敏捷的
すれちがい	すれちがい	擦肩而过，交错而过
ずらっと	ずらっと	一排排地，成排地
成育	せいいく	成长，发育
静止	せいし	静止
聖書	せいしょ	圣经
清純	せいじゅん	纯洁，清纯
正常	せいじょう	正常
整然	せいぜん	井然有序
盛装	せいそう	盛装，盛装打扮
制定	せいてい	制定
静的	せいてき	静态的
製鉄	せいてつ	炼铁
征服	せいふく	征服
整列	せいれつ	排列成行，列队
伜	せがれ	犬子，小儿
世辞	せじ	奉承话
セックス	せっくす	性，性行为；性别
設置	せっち	设置，设立
接続詞	せつぞくし	连词
攻め	せめ	进攻，攻击
先	せん	（时间上）先，之前
宣教	せんきょう	传教，布道
戦災	せんさい	战祸，战灾
先天的	せんてんてき	先天的，天生的
船舶	せんぱく	船舶
税務署	ぜいむしょ	税务局
ゼリー	ぜりー	果冻，凝胶
送金	そうきん	汇款
損う	そこなう	损害，损伤
そこら	そこら	那一带，附近
素っ気無い	そっけない	冷淡的，简慢的
外方	そっぽ	把脸转向一边（不理睬）
具わる	そなわる	具备，具有
ソロ	そろ	独奏，独唱
蔵相	ぞうしょう	财政大臣
退職	たいしょく	退职，辞职
タイピスト	たいぴすと	打字员
堪える	たえる	忍耐，忍受
断える	たえる	断绝，绝迹
焚火	たきび	篝火，烤火
立ち去る	たちさる	离去，走开
他動詞	たどうし	他动词
他方	たほう	另一方，另一面
給う	たまう	（长辈或上级）赐予，给予
溜まり	たまり	积存处；聚集之处
賜る	たまわる	承蒙赐予，蒙赏
たるむ|弛む	たるむ	松弛，松弛下垂
短歌	たんか	短歌（和歌的一种）
探検	たんけん	探险
短縮	たんしゅく	缩短
炭素	たんそ	碳
短大	たんだい	短期大学，专科
短波	たんぱ	短波
大便	だいべん	大便
だったら	だったら	那样的话
だと	だと	如果是……的话
団結	だんけつ	团结
旦那	だんな	老爷，主人；丈夫
ダンプ	だんぷ	自卸卡车
ダース|打	だーす	打（12个为一打）
ちくしょう|畜生	ちくしょう	该死，混蛋
乳	ちち	乳，奶；乳房
着席	ちゃくせき	就座，入座
茶の湯	ちゃのゆ	茶道
中和	ちゅうわ	中和
蝶	ちょう	蝴蝶
超	ちょう	超，极其（前缀）
聴覚	ちょうかく	听觉
長官	ちょうかん	长官，首长
聴診器	ちょうしんき	听诊器
調理	ちょうり	烹调，烹饪
塵取り	ちりとり	簸箕
沈没	ちんぼつ	沉没
使い道	つかいみち	用途，用法
司る	つかさどる	掌管，管理
つかの間	つかのま	瞬间，短暂片刻
月並	つきなみ	平庸的，老套的
継目	つぎめ	接缝，接头
作り	つくり	制作，制造
造り	つくり	构造，结构；体格
突っ突く	つっつく	轻戳，捅
つつく|突く	つつく	轻戳，啄食
謹む	つつしむ	谨慎，小心；恭敬
務まる	つとまる	能胜任，能担当
努めて	つとめて	尽力，尽量
つねる	つねる	掐，拧
角	つの	角（动物的角）；触角
つぶやく|呟く	つぶやく	嘟囔，低语；（网络）发推
壷	つぼ	罐，壶，瓶
吊り革	つりかわ	（电车、公交上的）吊环
釣り鐘	つりがね	吊钟，寺庙大钟
手当	てあて	津贴，补贴；治疗，处理
ティシュペーパー	てぃしゅぺーぱー	纸巾
提供	ていきょう	提供
手数	てかず	麻烦，费事；手续
手掛ける	てがける	亲自动手，经手
鉄鋼	てっこう	钢铁
鉄棒	てつぼう	铁棒；单杠
手引	てびき	引导，向导；入门指南
テレックス	てれっくす	电传
転回	てんかい	旋转，回转
天災	てんさい	天灾
生垣	いけがき	篱笆；树篱
行けない	いけない	不行，不可以；不好，糟糕
いけません|行けません	いけません	不行，不可以；不好
イケメン|イケ面	いけめん	帅哥，帅气男子
生ける	いける	插（花）；栽种；活的
違憲	いけん	违宪
威厳	いげん	威严，威风
遺構	いこう	遗迹，遗址
憩う	いこう	休息，歇息
異国	いこく	异国，外国
遺骨	いこつ	遗骨，骨灰
遺恨	いこん	遗恨，怨恨
囲碁	いご	围棋
居心地	いごこち	（居住、逗留的）舒适感觉
遺作	いさく	遗作
勇み足	いさみあし	（相扑中）抢先出脚踏出界；操之过急，弄巧成拙
勇む	いさむ	振奋，鼓起勇气；兴致勃勃
いざこざ	いざこざ	纠纷，纠葛，麻烦
遺志	いし	遗志
医師会	いしかい	医师协会
意識調査	いしきちょうさ	意识调查，民意调查
意識的	いしきてき	有意识的，故意的
意思決定	いしけってい	决策，决定意向
礎	いしずえ	基石，基础
意思疎通	いしそつう	沟通，相互理解
石段	いしだん	石阶
異質	いしつ	异质的，性质不同的
遺失物	いしつぶつ	遗失物
意思表示	いしひょうじ	表明意向；表示意愿
碑	いしぶみ	石碑
慰謝	いしゃ	抚慰，慰藉
遺書	いしょ	遗书
意匠	いしょう	构思，设计
異色	いしょく	独特，别具一格
委嘱	いしょく	委托，委任
威信	いしん	威信
維新	いしん	维新，革新
遺児	いじ	遗孤
いじめ|虐め	いじめ	欺负，欺凌，霸凌
異状	いじょう	异状，异常
移譲	いじょう	移交，转让
偉人	いじん	伟人
イスタンブール	いすたんぶーる	伊斯坦布尔
イスラエル|以色列	いすらえる	以色列
イスラム	いすらむ	伊斯兰教
イスラム教	いすらむきょう	伊斯兰教
イズム	いずむ	主义，……主义
いずれか|何れか	いずれか	其中之一；任何一个
威勢	いせい	威势，气势
為政者	いせいしゃ	执政者，当权者
依然として	いぜんとして	依然，仍旧
磯	いそ	（岩石）海滨，岸边
移送	いそう	移送，转送
居候	いそうろう	寄食者，食客，蹭吃蹭住的人
急ぎ	いそぎ	急，紧急，赶紧
遺族	いぞく	遗属，遗族
依存症	いぞんしょう	依赖症，成瘾症
遺体	いたい	遗体，尸体
板ガラス	いたがらす	平板玻璃
いただける|頂ける	いただける	能收到；能吃到（自谦）
異端	いたん	异端
医大	いだい	医科大学
一位	いちい	第一，首位
一因	いちいん	一个原因
一円	いちえん	一日元；（某）一带地区
一億	いちおく	一亿
１月	いちがつ	一月
一丸	いちがん	一体，一团
一義	いちぎ	一个含义；首要
一行	いちぎょう	一行（文字）
一隅	いちぐう	一隅，角落
一軍	いちぐん	全军；一队人马；一队（球队一队）
一撃	いちげき	一击
一元	いちげん	单一，一元
一元化	いちげんか	一元化，统一化
一期	いちご	一生，一辈子
一座	いちざ	满座，在场全体；一个剧团
一字	いちじ	一个字
一時間	いちじかん	一小时
一時金	いちじきん	一次性支付金，一笔奖金
一助	いちじょ	一点帮助
一女	いちじょ	一个女儿；长女
一条	いちじょう	一条，一道（光等）
一人物	いちじんぶつ	了不起的人物，重要人物
一途	いちず	一心一意，专心致志
一族	いちぞく	家族，一族
１対１	いちたいいち	一对一
一打	いちだ	一击，一下
一代	いちだい	一代，一生
一台	いちだい	一台（机器、车辆）
一大	いちだい	一大……，重大……
一団	いちだん	一团，一群，一伙
一段	いちだん	更加，越发
一段落	いちだんらく	告一段落
位置付け	いちづけ	定位，定位方式
位置付ける	いちづける	将……定位于；使处于（某位置）
一堂	いちどう	同一处，同一地点
一男	いちなん	一个儿子；长子
一二	いちに	一二，少许
一日中	いちにちじゅう	一整天，全天
一任	いちにん	全权委托
一人前	いちにんまえ	一人份；成年人，独当一面的人
一年	いちねん	一年；从前
一年間	いちねんかん	一年时间
一年中	いちねんじゅう	一年到头，全年
一年生	いちねんせい	一年级学生；新手
いち早く	いちはやく	迅速地，抢先，率先
一倍	いちばい	原数；一倍
一番上	いちばんうえ	最上面，最高的
一番手	いちばんて	排头，第一位
一分	いちぶ	十分之一；百分之一
一枚	いちまい	一张，一片
一枚岩	いちまいいわ	整块岩石；团结一致，铁板一块
１万	いちまん	一万
一文	いちもん	一文钱，一点点钱
一門	いちもん	一族，同门
一問	いちもん	一个问题
一夜	いちや	一夜，通宵
一躍	いちやく	一跃，一举（成名等）
胃腸	いちょう	胃肠
医長	いちょう	主治医师，科室主任
一翼	いちよく	一翼；一份力量，一个角色
一覧表	いちらんひょう	一览表
一里塚	いちりづか	里程碑（旧时每隔一里设置的土堆）
一両	いちりょう	一辆；一两（旧币单位）
一塁	いちるい	（棒球）一垒
１割	いちわり	一成，百分之十
一過	いっか	一晃而过，过境
一回	いっかい	一次，一回
一階	いっかい	一楼，一层
一角	いっかく	一角，一隅
一ヶ月	いっかげつ	一个月
一環	いっかん	一环，一部分
一喜一憂	いっきいちゆう	患得患失，忽喜忽忧
一騎打ち	いっきうち	单挑，一对一较量
一級	いっきゅう	一级，头等
一挙	いっきょ	一举，一下子
一局	いっきょく	一局（棋）
一曲	いっきょく	一首曲子
一件	いっけん	一件事，一桩案子
一軒	いっけん	一栋房子
一個	いっこ	一个
一校	いっこう	一校；全校；初校
一行	いっこう	一行人
一向に	いっこうに	（后接否定）完全（不），一点也（不）
一刻	いっこく	片刻；顽固
一国	いっこく	一国，整个国家；顽固
一戸建て	いっこだて	独栋住宅
一冊	いっさつ	一册，一本
一酸化炭素	いっさんかたんそ	一氧化碳
一式	いっしき	一整套
一室	いっしつ	一间房
一首	いっしゅ	一首（和歌）
一周	いっしゅう	绕一圈，一周
一週間	いっしゅうかん	一星期
一周年	いっしゅうねん	一周年
一緒に	いっしょに	一起，一同
一審	いっしん	一审，初审
一新	いっしん	一新，革新
一身	いっしん	自身，一身
一心に	いっしんに	一心一意地，专心地
一世	いっせい	一代人；一生；当代
一石	いっせき	一局（围棋）
一節	いっせつ	一节，一段
１０００	いっせん	一千
一戦	いっせん	一战，一场较量
一線	いっせん	一线，一条线；分界线
